D4:1B:81	CHONGQING FUGUI ELECTRONICS CO.,LTD.	2020-08-22	2020-08-22
00:09:E3	Angel Iglesias S.A.	2002-06-05	2015-09-27
00:50:A7	Cisco Systems, Inc	2000-11-09	2015-09-27
68:CC:9C	Mine Site Technologies	2010-01-05	2015-09-27
0C:E4:41	Apple, Inc.	2021-01-26	2021-01-26
00:22:32	Baoding Galaxy Electronic Technology  Co.,Ltd	2008-10-25	2015-09-27
80:92:9F	Apple, Inc.	2013-01-09	2017-10-11
00:13:B3	Ecom Communications Technology Co., Ltd.	2005-02-17	2015-09-27
74:88:8B	ADB Broadband Italia	2012-06-14	2015-09-27
18:F1:8E	ChipER Technology co. ltd	2019-01-09	2019-01-09
7C:B9:60	Shanghai X-Cheng telecom LTD	2017-02-21	2017-02-21
00:50:28	AVAL COMMUNICATIONS	2000-11-09	2015-09-27
4C:76:25	Dell Inc.	2014-10-13	2015-10-25
D4:77:B2	Netix Global B.V.	2020-03-25	2020-03-25
84:8D:84	Rajant Corporation	2012-03-01	2015-09-27
A8:CC:6F	HMD Global Oy	2020-10-20	2020-10-20
D4:05:98	ARRIS Group, Inc.	2014-09-28	2016-05-19
00:15:4C	Saunders Electronics	2005-07-27	2015-09-27
0C:F4:D5	Ruckus Wireless	2016-11-16	2016-11-16
CC:34:29	TP-LINK TECHNOLOGIES CO.,LTD.	2013-09-12	2015-09-27
10:12:FB	Hangzhou Hikvision Digital Technology Co.,Ltd.	2020-04-15	2020-04-15
00:14:AA	Ashly Audio, Inc.	2005-05-22	2015-09-27
10:05:01	PEGATRON CORPORATION	2017-02-21	2017-02-21
D8:0F:99	Hon Hai Precision Ind. Co.,Ltd.	2016-02-10	2016-02-10
40:35:E6	Samsung Electronics Co.,Ltd	2022-01-12	2022-01-12
4C:62:55	SANMINA-SCI SYSTEM DE MEXICO S.A. DE C.V.	2013-03-10	2015-09-27
00:0C:58	M&S Systems	2003-02-07	2015-09-27
00:07:DC	Atek Co, Ltd.	2001-10-24	2015-09-27
A0:A2:3C	GPMS	2013-09-12	2015-09-27
3C:9F:C3	Beijing Sinead Technology Co., Ltd. 	2021-06-16	2021-06-16
C4:7B:2F	Beijing JoinHope Image Technology Ltd.	2011-05-07	2015-09-27
60:FA:CD	Apple, Inc.	2011-11-26	2017-10-11
00:FA:3B	CLOOS ELECTRONIC GMBH	2011-11-13	2015-09-27
C4:A1:0E	IEEE Registration Authority	2022-03-08	2022-03-08
14:F6:5A	Xiaomi Communications Co Ltd	2014-04-22	2016-08-26
00:09:82		2002-06-05	2015-09-27
A4:CD:23	Shenzhenshi Xinzhongxin  Co., Ltd	2019-08-02	2019-08-02
74:8A:69	Korea Image Technology Co., Ltd	2016-06-17	2016-06-17
48:D8:FE	ClarIDy Solutions, Inc.	2011-03-17	2015-09-27
00:0A:36	Synelec Telecom Multimedia	2002-06-05	2015-09-27
00:80:10		2000-11-09	2015-09-27
04:D3:B5	Huawei Device Co., Ltd.	2019-08-31	2019-08-31
CC:50:0A	Fiberhome Telecommunication Technologies Co.,LTD	2016-03-01	2016-03-01
00:03:73		2000-11-09	2015-09-27
00:21:66		2008-10-25	2015-09-27
00:16:F7	L-3 Communications, Aviation Recorders	2006-01-03	2015-09-27
00:19:E7	Cisco Systems, Inc	2006-11-29	2015-09-27
00:5A:13	HUAWEI TECHNOLOGIES CO.,LTD	2016-05-31	2016-05-31
00:90:15		1998-04-22	2015-09-27
94:A4:08	Shenzhen Trolink Technology CO, LTD	2021-06-10	2021-06-10
28:FE:CD	Lemobile Information Technology (Beijing) Co., Ltd.	2016-10-12	2016-10-12
00:25:85		2009-03-14	2015-09-27
E0:31:9E	Valve Corporation	2015-05-03	2015-09-27
00:1D:D4	ARRIS Group, Inc.	2007-09-29	2016-05-19
00:15:CA	TeraRecon, Inc.	2005-09-09	2015-09-27
00:23:02	Cobalt Digital, Inc.	2008-10-25	2015-09-27
00:18:42	Nokia Danmark A/S	2006-06-13	2015-09-27
24:09:95		2014-09-21	2015-10-12
00:A0:BE	INTEGRATED CIRCUIT SYSTEMS, INC. COMMUNICATIONS GROUP	1980-01-01	2015-09-27
00:11:0D	SANBlaze Technology, Inc.	2004-04-15	2015-09-27
D0:D2:3C	Apple, Inc.	2020-07-22	2020-07-22
